"Rank","Artist Name","Country","Genre","Viberate Rank","Spotify Rank","Spotify Followers 1m","Spotify Followers Total","Spotify Monthly Streams 1m","Spotify Monthly Streams Total","Spotify Monthly Listeners 1m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1m","YouTube Subscribers Total","YouTube Views 1m","YouTube Views Total","YouTube Likes 1m","YouTube Likes Total","Social Rank","TikTok Followers 1m","TikTok Followers Total","TikTok Likes 1m","TikTok Views 1m","Instagram Followers 1m","Instagram Followers Total","Instagram Likes 1m","Facebook Followers 1m","Facebook Followers Total","Twitter Followers 1m","Twitter Followers Total","Twitter Likes 1m","Deezer Fans 1m","Deezer Fans Total","SoundCloud Followers 1m","SoundCloud Followers Total","SoundCloud Plays 1m","Shazam Shazams 1m","Radio Airplay Rank","Radio Airplay Spins 1m","Radio Airplay Countries with Spins 1m","Radio Airplay Stations with Spins 1m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1m","Beatport Track Performance Points Total"
"247","Yandel","Puerto Rico","Latin","181","247","N/A","7173891","N/A","8508403471","N/A","23223166","142671624","68","N/A","5820000","N/A","18075755179","N/A","81381627","552","N/A","2200000","N/A","N/A","N/A","13171482","N/A","N/A","12400051","N/A","2998124","N/A","N/A","1671549","N/A","24008","N/A","N/A","1112","N/A","N/A","N/A","100068","8","1","5","N/A","19.270049486103986"
"248","Billy Joel","United States","Rock","482","248","N/A","5380105","N/A","5709426833","N/A","22651818","133233656","1000","N/A","1700000","N/A","1615019869","N/A","10630180","3904","N/A","N/A","N/A","N/A","N/A","627324","N/A","N/A","3951323","N/A","333727","N/A","N/A","688563","N/A","77912","N/A","N/A","57","N/A","N/A","N/A","120245","22","0","0","N/A","5.8084501553212124"
"249","Skrillex","United States","Electronic","239","249","N/A","8241434","N/A","9931411559","N/A","22124617","188813357","286","N/A","20100000","N/A","8969317969","N/A","75339202","547","N/A","837500","N/A","N/A","N/A","12294026","N/A","N/A","18669437","N/A","5865347","N/A","N/A","3747343","N/A","6541971","N/A","N/A","2174","N/A","N/A","N/A","108","230","113","24541","N/A","28052.742106106583"
"250","Vance Joy","Australia","Pop","854","250","N/A","2884453","N/A","5250239572","N/A","22587947","143067235","3078","N/A","714000","N/A","1135841296","N/A","9362903","9318","N/A","60000","N/A","N/A","N/A","631976","N/A","N/A","642514","N/A","148474","N/A","N/A","461815","N/A","93690","N/A","N/A","763","N/A","N/A","N/A","112957","5","0","0","N/A","9.307084624104412"
"251","Lauv","United States","Pop","610","251","N/A","5898854","N/A","10175826248","N/A","20130566","149744025","1059","N/A","4440000","N/A","2831496325","N/A","42123264","3207","N/A","1300000","N/A","N/A","N/A","1937851","N/A","N/A","1384287","N/A","1222632","N/A","N/A","377858","N/A","188137","N/A","N/A","505","N/A","N/A","N/A","28745","77","7","230","N/A","480.3959950726244"
"252","Bastille","United Kingdom","Rock","549","252","N/A","5440673","N/A","7075603790","N/A","19970592","119390019","884","N/A","2440000","N/A","3434029054","N/A","33736569","1649","N/A","460300","N/A","N/A","N/A","900939","N/A","N/A","2599383","N/A","1317180","N/A","N/A","2159500","N/A","5152914","N/A","N/A","282","N/A","N/A","N/A","9554","61","13","1002","N/A","2236.7644465198696"
"253","Eagles","United States","Rock","488","253","N/A","9870962","N/A","5230308483","N/A","20372651","107954017","3268","N/A","1130000","N/A","360635555","N/A","1672183","9617","N/A","N/A","N/A","N/A","N/A","95343","N/A","N/A","6282512","N/A","N/A","N/A","N/A","1050961","N/A","21768","N/A","N/A","61","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"254","Lil Peep","United States","Hip Hop","329","254","N/A","10549753","N/A","11537659384","N/A","14405037","27891709","544","N/A","8890000","N/A","4675564124","N/A","62672752","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1041692","N/A","2850220","N/A","N/A","4367","N/A","N/A","N/A","40665","44","7","98","N/A","101.55105869510136"
"255","Reik","Mexico","Pop","250","255","N/A","8479035","N/A","8186174494","N/A","19466221","105084204","112","N/A","9760000","N/A","11444432659","N/A","55767201","1881","N/A","1700000","N/A","N/A","N/A","2454010","N/A","N/A","17126652","N/A","3962596","N/A","N/A","2782023","N/A","9857","N/A","N/A","553","N/A","N/A","N/A","91833","1","0","0","N/A","3.03708630172436"
"256","Julia Michaels","United States","Pop","990","256","N/A","5044718","N/A","8384318492","N/A","18509578","134565602","1339","N/A","1770000","N/A","1713836362","N/A","18998835","6657","N/A","531900","N/A","N/A","N/A","2379092","N/A","N/A","817841","N/A","2601","N/A","N/A","269776","N/A","40629","N/A","N/A","1588","N/A","N/A","N/A","73037","19","3","214","N/A","360.11517551403705"
"257","Eladio Carrion","Puerto Rico","Hip Hop","189","257","N/A","4624799","N/A","5654156592","N/A","23195293","91408836","232","N/A","4220000","N/A","3654599358","N/A","39167619","784","N/A","1000000","N/A","N/A","N/A","6421007","N/A","N/A","1288313","N/A","762608","N/A","N/A","506987","N/A","110621","N/A","N/A","8802","N/A","N/A","N/A","120138","2","0","0","N/A","4.197014033824285"
"258","TWICE (트와이스)","South Korea","Pop","63","258","N/A","18640319","N/A","7070200732","N/A","10248084","25165208","132","N/A","16200000","N/A","11825636352","N/A","256383334","13","N/A","21400000","N/A","N/A","N/A","28577413","N/A","N/A","7701349","N/A","11827895","N/A","N/A","1081879","N/A","221279","N/A","N/A","8383","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"259","Fifth Harmony","United States","Pop","289","259","N/A","16094132","N/A","5904292178","N/A","10219053","53100916","142","N/A","14600000","N/A","8402179096","N/A","56553123","1889","N/A","617400","N/A","N/A","N/A","11327689","N/A","N/A","7447630","N/A","4437390","N/A","N/A","2550222","N/A","744285","N/A","N/A","849","N/A","N/A","N/A","137266","4","0","0","N/A","1.056081846422038"
"260","Mark Ronson","United Kingdom","Pop","534","260","N/A","1035339","N/A","5459000384","N/A","22428505","188515370","252","N/A","6770000","N/A","6396167957","N/A","33312075","5857","N/A","267100","N/A","N/A","N/A","949904","N/A","N/A","882260","N/A","546009","N/A","N/A","698065","N/A","23345","N/A","N/A","274","N/A","N/A","N/A","4514","104","28","2794","N/A","8482.15227245266"
"261","Lil Tjay","United States","Hip Hop","215","261","N/A","7023337","N/A","9309771768","N/A","17607687","90225808","360","N/A","5550000","N/A","3754506385","N/A","43840895","172","N/A","6100000","N/A","N/A","N/A","8695607","N/A","N/A","2023266","N/A","1268943","N/A","N/A","557378","N/A","1130422","N/A","N/A","3062","N/A","N/A","N/A","16906","76","8","68","N/A","219.79530607951983"
"262","Kesha","United States","Pop","355","262","N/A","7629392","N/A","8769495162","N/A","18893703","147627605","395","N/A","4410000","N/A","4646796613","N/A","32104737","652","N/A","2700000","N/A","N/A","N/A","3288128","N/A","N/A","26230199","N/A","3131312","N/A","N/A","3938449","N/A","6077623","N/A","N/A","769","N/A","N/A","N/A","16847","44","4","102","N/A","283.56629268547056"
"263","Raye","United Kingdom","Pop","634","263","N/A","972747","N/A","4704119745","N/A","24110378","214394031","904","N/A","568000","N/A","1122281759","N/A","10276447","2971","N/A","573400","N/A","N/A","N/A","866806","N/A","N/A","144259","N/A","85466","N/A","N/A","319852","N/A","44574","N/A","N/A","1075","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"264","Akon","United States","R&B","128","264","N/A","3928699","N/A","12671154036","N/A","26346816","164159679","57","N/A","13100000","N/A","11723013529","N/A","77379282","584","N/A","1200000","N/A","N/A","N/A","8527128","N/A","N/A","53845581","N/A","6117873","N/A","N/A","4475900","N/A","215676","N/A","N/A","584","N/A","N/A","N/A","5815","256","18","966","N/A","2069.604484728843"
"265","Avril Lavigne","Canada","Punk","164","265","N/A","10209063","N/A","11428190752","N/A","18460224","114401271","150","N/A","12500000","N/A","6793660206","N/A","52553484","238","N/A","5400000","N/A","N/A","N/A","12639316","N/A","N/A","50542866","N/A","20446696","N/A","N/A","5355669","N/A","210080","N/A","N/A","230","N/A","N/A","N/A","100428","3","0","0","N/A","2.2691887737231546"
"266","Banda MS de Sergio Lizárraga","Mexico","Latin","332","266","N/A","17623230","N/A","9627487947","N/A","15722432","44787439","279","N/A","3940000","N/A","11553053216","N/A","33657353","691","N/A","3500000","N/A","N/A","N/A","3835287","N/A","N/A","17778459","N/A","1352563","N/A","N/A","2592627","N/A","3056","N/A","N/A","25490","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"267","The Lumineers","United States","Rock","643","267","N/A","5210289","N/A","6005781105","N/A","18931154","88828748","1520","N/A","2310000","N/A","1623760555","N/A","12162092","2562","N/A","455000","N/A","N/A","N/A","1160605","N/A","N/A","2034842","N/A","460096","N/A","N/A","811893","N/A","22202","N/A","N/A","662","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"268","Mora","Puerto Rico","Pop","363","268","N/A","2398972","N/A","5034481110","N/A","20080034","111537550","682","N/A","2150000","N/A","2093431456","N/A","15517117","1470","N/A","N/A","N/A","N/A","N/A","2694858","N/A","N/A","12622","N/A","621507","N/A","N/A","127913","N/A","37845","N/A","N/A","10897","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"269","JVKE","United States","Pop","142","269","N/A","2955639","N/A","2348052033","N/A","26049088","122366541","75","N/A","8710000","N/A","3005946211","N/A","154146183","1624","N/A","11600000","N/A","N/A","N/A","1792529","N/A","N/A","43357","N/A","22715","N/A","N/A","48191","N/A","60022","N/A","N/A","876","N/A","N/A","N/A","12005","11","2","21","N/A","127.07774694647371"
"270","Tory Lanez","Canada","Hip Hop","356","270","N/A","5882399","N/A","11069940233","N/A","24190346","89539011","568","N/A","4410000","N/A","3990740964","N/A","42798302","2037","N/A","2100000","N/A","N/A","N/A","11901398","N/A","N/A","2485759","N/A","2261611","N/A","N/A","615285","N/A","942433","N/A","N/A","2030","N/A","N/A","N/A","15007","187","33","1126","N/A","464.19838856160834"
"271","Jason Mraz","United States","Pop","582","271","N/A","7241069","N/A","5822111319","N/A","17100565","127964549","1191","N/A","3580000","N/A","3100764003","N/A","17936924","2501","N/A","654400","N/A","N/A","N/A","1389588","N/A","N/A","11718687","N/A","5059858","N/A","N/A","2338227","N/A","106283","N/A","N/A","372","N/A","N/A","N/A","89137","12","2","22","N/A","6.9332841460896795"
"272","Nelly Furtado","Canada","Pop","360","272","N/A","3531181","N/A","4463048402","N/A","22599185","184192531","516","N/A","2250000","N/A","3102045096","N/A","16779056","783","N/A","1500000","N/A","N/A","N/A","798680","N/A","N/A","4448247","N/A","2944660","N/A","N/A","1234986","N/A","N/A","N/A","N/A","265","N/A","N/A","N/A","499","24","1","170","N/A","7423.299396695109"
"273","Kim Petras","United States","Pop","793","273","N/A","968849","N/A","2949952853","N/A","24627314","163946144","2532","N/A","517000","N/A","359552919","N/A","6196125","2070","N/A","828900","N/A","N/A","N/A","1150377","N/A","N/A","184952","N/A","250986","N/A","N/A","92358","N/A","19418","N/A","N/A","2652","N/A","N/A","N/A","569","22","3","689","N/A","6870.311222753546"
"274","TINI","Argentina","Pop","143","274","N/A","6785108","N/A","4691495848","N/A","20085690","101994307","70","N/A","8570000","N/A","5428414543","N/A","46691010","195","N/A","11100000","N/A","N/A","N/A","21050680","N/A","N/A","6674928","N/A","3856534","N/A","N/A","828515","N/A","12033","N/A","N/A","3270","N/A","N/A","N/A","138835","3","0","0","N/A","0.7920613848165285"
"275","Kelly Clarkson","United States","Pop","315","275","N/A","10082569","N/A","6549882227","N/A","17469829","118514658","437","N/A","4030000","N/A","2869924666","N/A","18371359","349","N/A","980200","N/A","N/A","N/A","7040183","N/A","N/A","14654510","N/A","11989331","N/A","N/A","2979101","N/A","23014","N/A","N/A","158","N/A","N/A","N/A","75493","57","2","15","N/A","88.19800868554009"
"276","Atif Aslam","Pakistan","Pop","284","276","N/A","16982413","N/A","2129204333","N/A","16514941","9317780","313","N/A","3040000","N/A","7768140529","N/A","58833233","1041","N/A","230000","N/A","N/A","N/A","7390324","N/A","N/A","23232863","N/A","1434990","N/A","N/A","203346","N/A","172057","N/A","N/A","4236","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"277","Danny Ocean","Venezuela","Pop","529","277","N/A","5179603","N/A","5020748860","N/A","18601692","86829359","777","N/A","5150000","N/A","3996991581","N/A","18697262","3672","N/A","1100000","N/A","N/A","N/A","1609285","N/A","N/A","2026075","N/A","506730","N/A","N/A","745816","N/A","11589","N/A","N/A","823","N/A","N/A","N/A","8423","N/A","N/A","N/A","N/A","N/A"
"278","Meduza","Italy","Electronic","673","278","N/A","660698","N/A","3882624647","N/A","21611824","205961647","1661","N/A","1370000","N/A","1110732041","N/A","11899422","8321","N/A","291800","N/A","N/A","N/A","310572","N/A","N/A","87743","N/A","11228","N/A","N/A","229261","N/A","64817","N/A","N/A","1050","N/A","N/A","N/A","39","94","46","6854","N/A","61334.05088259839"
"279","Felix Jaehn","Germany","Electronic","789","279","N/A","1297751","N/A","9004583826","N/A","21597396","169039264","1019","N/A","501000","N/A","2629943319","N/A","15758815","10561","N/A","91800","N/A","N/A","N/A","271421","N/A","N/A","304728","N/A","290206","N/A","N/A","725285","N/A","132891","N/A","N/A","351","N/A","N/A","N/A","1202","227","50","3530","N/A","13325.671278090434"
"280","Bryson Tiller","United States","R&B","424","280","N/A","7365391","N/A","7888691578","N/A","16286061","94727774","599","N/A","3190000","N/A","3725493562","N/A","25490230","8990","N/A","441000","N/A","N/A","N/A","N/A","N/A","N/A","1349320","N/A","2682922","N/A","N/A","797908","N/A","1192512","N/A","N/A","1223","N/A","N/A","N/A","3855","97","4","227","N/A","875.8597474475715"
"281","Elvis Presley","United States","Pop","394","281","N/A","8622639","N/A","13538379706","N/A","17770126","92174220","571","N/A","3510000","N/A","2012728484","N/A","17830746","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2811844","N/A","71773","N/A","N/A","50","N/A","N/A","N/A","45803","483","0","0","N/A","139.94514026560793"
"282","John Mayer","United States","Pop","584","282","N/A","5938298","N/A","9873955846","N/A","15853238","136853666","1643","N/A","2440000","N/A","1312480087","N/A","8880621","2053","N/A","1600000","N/A","N/A","N/A","5833835","N/A","N/A","6656817","N/A","1358877","N/A","N/A","968989","N/A","4759604","N/A","N/A","637","N/A","N/A","N/A","80288","8","0","0","N/A","8.242264219574295"
"283","Badshah","India","Hip Hop","277","283","N/A","24874421","N/A","2398229590","N/A","14900314","16258596","117","N/A","6940000","N/A","17949406430","N/A","127862822","779","N/A","4000000","N/A","N/A","N/A","12350870","N/A","N/A","9669454","N/A","2825631","N/A","N/A","64169","N/A","N/A","N/A","N/A","11297","N/A","N/A","N/A","72245","7","0","0","N/A","8.4049484548239"
"284","blink-182","United States","Punk","378","284","N/A","7739601","N/A","7270097866","N/A","18008490","115843322","542","N/A","2890000","N/A","2550033262","N/A","14290441","1801","N/A","596900","N/A","N/A","N/A","2903576","N/A","N/A","9983692","N/A","1657050","N/A","N/A","1973631","N/A","1825671","N/A","N/A","286","N/A","N/A","N/A","89105","4","2","33","N/A","13.35833164191174"
"285","Piso 21","Colombia","Pop","415","285","N/A","9181987","N/A","5635514620","N/A","18120170","78899295","447","N/A","7630000","N/A","7493845371","N/A","26891641","2571","N/A","1200000","N/A","N/A","N/A","4124729","N/A","N/A","3724995","N/A","446496","N/A","N/A","2328910","N/A","N/A","N/A","N/A","776","N/A","N/A","N/A","83219","10","1","1","N/A","37.85365455274326"
"286","Jennifer Lopez","United States","Pop","57","286","N/A","12415615","N/A","6952553873","N/A","22876040","107557449","69","N/A","16300000","N/A","13308962356","N/A","63623817","18","N/A","16600000","N/A","N/A","N/A","250994314","N/A","N/A","62281560","N/A","45350981","N/A","N/A","6010701","N/A","93850","N/A","N/A","122","N/A","N/A","N/A","9529","59","11","1186","N/A","2561.4504718771127"
"287","2Pac","United States","Hip Hop","180","287","N/A","16006247","N/A","7030323814","N/A","23079257","74344457","451","N/A","7100000","N/A","3039788953","N/A","25120811","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3458222","N/A","569370","N/A","N/A","466","N/A","N/A","N/A","117037","23","1","4","N/A","6.810245553651907"
"288","Aventura","United States","Latin","278","288","N/A","7464528","N/A","5550544958","N/A","17433995","68458247","229","N/A","6630000","N/A","7310798798","N/A","27403188","3592","N/A","N/A","N/A","N/A","N/A","509968","N/A","N/A","19791562","N/A","1408881","N/A","N/A","1933952","N/A","97412","N/A","N/A","653","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"289","NLE Choppa","United States","Hip Hop","148","289","N/A","6610728","N/A","5881847825","N/A","19759245","136025469","291","N/A","6810000","N/A","3579449830","N/A","62160800","105","N/A","15900000","N/A","N/A","N/A","6294080","N/A","N/A","1930464","N/A","1968821","N/A","N/A","530577","N/A","1004823","N/A","N/A","1907","N/A","N/A","N/A","46020","21","3","13","N/A","35.44289873585703"
"290","Blackbear","United States","R&B","763","290","N/A","4874615","N/A","10581044658","N/A","17664399","69840192","1116","N/A","2660000","N/A","2112627367","N/A","31572742","2103","N/A","1300000","N/A","N/A","N/A","5693873","N/A","N/A","411500","N/A","1919834","N/A","N/A","423624","N/A","7708","N/A","N/A","1226","N/A","N/A","N/A","32560","118","9","119","N/A","208.6304031367574"
"291","NBA YoungBoy","United States","Hip Hop","209","291","N/A","11636654","N/A","12247191153","N/A","16849302","82552462","123","N/A","12800000","N/A","12891461342","N/A","119332621","2072","N/A","544400","N/A","N/A","N/A","1183074","N/A","N/A","3687939","N/A","N/A","N/A","N/A","556188","N/A","2206253","N/A","N/A","59108","N/A","N/A","N/A","53949","20","2","18","N/A","39.04029593178502"
"292","Ryan Lewis","United States","Hip Hop","1107","292","N/A","19627","N/A","7341132994","N/A","21943867","79089214","819","N/A","N/A","N/A","5323993886","N/A","36506639","22618","N/A","N/A","N/A","N/A","N/A","333261","N/A","N/A","525706","N/A","481196","N/A","N/A","83319","N/A","N/A","N/A","N/A","161143","N/A","N/A","N/A","15387","38","5","1288","N/A","314.2063018279326"
"293","Morat","Colombia","Pop","196","293","N/A","9510713","N/A","7753491446","N/A","14508609","52564568","173","N/A","6960000","N/A","6134413106","N/A","42838589","406","N/A","3300000","N/A","N/A","N/A","3771549","N/A","N/A","1642338","N/A","946295","N/A","N/A","961548","N/A","N/A","N/A","N/A","750","N/A","N/A","N/A","129604","2","0","0","N/A","2.23593298812777"
"294","Swedish House Mafia","Sweden","Electronic","472","294","N/A","3771276","N/A","3771705312","N/A","24592963","218742936","707","N/A","2610000","N/A","1889163627","N/A","10884153","1982","N/A","128700","N/A","N/A","N/A","1201035","N/A","N/A","8061073","N/A","1988084","N/A","N/A","2073020","N/A","752280","N/A","N/A","517","N/A","N/A","N/A","107","107","32","3879","N/A","25828.473340867873"
"295","G-Eazy","United States","Hip Hop","439","295","N/A","5195257","N/A","13099622786","N/A","16253562","89845119","172","N/A","8560000","N/A","7571409842","N/A","64724372","1750","N/A","1100000","N/A","N/A","N/A","10411500","N/A","N/A","3427847","N/A","3277519","N/A","N/A","978296","N/A","1174348","N/A","N/A","1525","N/A","N/A","N/A","18744","170","37","1741","N/A","636.124759936243"
"296","The Script","Ireland","Rock","688","296","N/A","8045282","N/A","6597531746","N/A","16566948","68403382","1515","N/A","N/A","N/A","2569558236","N/A","16820846","2669","N/A","272000","N/A","N/A","N/A","738723","N/A","N/A","5954830","N/A","1821721","N/A","N/A","2055065","N/A","51010","N/A","N/A","417","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"297","Henrique & Juliano","Brazil","Latin","126","297","N/A","19806468","N/A","8312468933","N/A","12236495","57618813","138","N/A","15600000","N/A","15109395850","N/A","64296571","612","N/A","3400000","N/A","N/A","N/A","16010326","N/A","N/A","9284597","N/A","3132740","N/A","N/A","8689314","N/A","61321","N/A","N/A","305","N/A","N/A","N/A","85492","N/A","N/A","N/A","N/A","N/A"
"298","Hailee Steinfeld","United States","Pop","517","298","N/A","8838159","N/A","5910395970","N/A","12275884","72134239","854","N/A","4520000","N/A","1618064124","N/A","15202391","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","399319","N/A","44636","N/A","N/A","1282","N/A","N/A","N/A","97159","27","2","55","N/A","18.436394798598744"
"299","Sabrina Carpenter","United States","Pop","193","299","N/A","5826865","N/A","3877625781","N/A","24319269","140427975","468","N/A","6030000","N/A","2680773629","N/A","46044467","107","N/A","14300000","N/A","N/A","N/A","30124323","N/A","N/A","8039586","N/A","1743665","N/A","N/A","707765","N/A","79310","N/A","N/A","907","N/A","N/A","N/A","54158","14","3","38","N/A","67.1501127766346"
"300","Coi Leray","United States","Hip Hop","262","300","N/A","624613","N/A","1576185400","N/A","32928964","282748280","1106","N/A","1850000","N/A","601626598","N/A","10049776","266","N/A","11300000","N/A","N/A","N/A","7715526","N/A","N/A","3187050","N/A","784182","N/A","N/A","39441","N/A","137080","N/A","N/A","349","N/A","N/A","N/A","762","51","9","696","N/A","5013.1015452877855"
"301","Trippie Redd","United States","Hip Hop","398","301","N/A","8953990","N/A","14011498036","N/A","22114899","108423379","721","N/A","4250000","N/A","3019383165","N/A","47776991","519","N/A","3700000","N/A","N/A","N/A","13808156","N/A","N/A","1109471","N/A","2395699","N/A","N/A","579276","N/A","1898407","N/A","N/A","4103","N/A","N/A","N/A","5762","167","6","115","N/A","627.9898206242071"
"302","Phil Collins","United Kingdom","Rock","503","302","N/A","5331967","N/A","3435942460","N/A","20704197","130682507","1154","N/A","2500000","N/A","2261218516","N/A","12648845","3542","N/A","N/A","N/A","N/A","N/A","824612","N/A","N/A","7387289","N/A","200285","N/A","N/A","2277245","N/A","27555","N/A","N/A","32","N/A","N/A","N/A","122591","5","0","0","N/A","2.903964974535959"
"303","Pink Floyd","United Kingdom","Rock","257","303","N/A","19493904","N/A","10115447778","N/A","18833734","74061271","1306","N/A","3740000","N/A","1047808478","N/A","9206356","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","5933279","N/A","139057","N/A","N/A","66","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"304","Wisin & Yandel","Puerto Rico","Latin","235","304","N/A","6611644","N/A","7131942894","N/A","20903294","90997618","145","N/A","7280000","N/A","10282442170","N/A","43658255","862","N/A","1000000","N/A","N/A","N/A","2435919","N/A","N/A","24571818","N/A","5060890","N/A","N/A","3151623","N/A","N/A","N/A","N/A","615","N/A","N/A","N/A","99360","7","0","0","N/A","7.3409830246232755"
"305","Jessie J","United Kingdom","Pop","225","305","N/A","11546148","N/A","4308182670","N/A","15770299","78234947","102","N/A","10500000","N/A","9532111695","N/A","54793022","253","N/A","1800000","N/A","N/A","N/A","13763266","N/A","N/A","17705285","N/A","7978536","N/A","N/A","4944552","N/A","123373","N/A","N/A","572","N/A","N/A","N/A","62240","31","13","1424","N/A","3902.6837990562467"
"306","Rae Sremmurd","United States","Hip Hop","421","306","N/A","7310862","N/A","6551777253","N/A","13519961","42880405","275","N/A","8500000","N/A","4911395074","N/A","37517008","998","N/A","303200","N/A","N/A","N/A","10772784","N/A","N/A","5952346","N/A","769874","N/A","N/A","1012332","N/A","621672","N/A","N/A","2128","N/A","N/A","N/A","57046","74","12","453","N/A","111.90088949114023"
"307","French Montana","United States","Hip Hop","326","307","N/A","5157592","N/A","10151576686","N/A","17781438","128107104","188","N/A","5390000","N/A","8473472223","N/A","59256175","274","N/A","564600","N/A","N/A","N/A","37033365","N/A","N/A","5661413","N/A","3067210","N/A","N/A","1114390","N/A","131757","N/A","N/A","822","N/A","N/A","N/A","11850","201","36","3541","N/A","1857.1233062803728"
"308","Natti Natasha","Dominican Republic","Latin","220","308","N/A","9337129","N/A","7037224488","N/A","15510566","98335492","114","N/A","12300000","N/A","15223134314","N/A","76032318","248","N/A","16300000","N/A","N/A","N/A","36539690","N/A","N/A","16285930","N/A","3029829","N/A","N/A","1217817","N/A","40404","N/A","N/A","988","N/A","N/A","N/A","11614","15","8","392","N/A","689.5210003042961"
"309","Darshan Raval","India","Pop","219","309","N/A","12218146","N/A","1707779039","N/A","19014175","11852499","408","N/A","3740000","N/A","6838421282","N/A","79834428","210","N/A","79700","N/A","N/A","N/A","16701375","N/A","N/A","7379389","N/A","202790","N/A","N/A","16415","N/A","17428","N/A","N/A","13785","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"310","Bruce Springsteen","United States","Rock","487","310","N/A","5803381","N/A","5212806246","N/A","16437767","159936667","733","N/A","1930000","N/A","1891164851","N/A","8463282","2505","N/A","N/A","N/A","N/A","N/A","1540187","N/A","N/A","6073666","N/A","1352877","N/A","N/A","1459205","N/A","146470","N/A","N/A","49","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"311","Grupo Firme","Mexico","Latin","162","311","N/A","10707210","N/A","6166270759","N/A","18515682","75173654","175","N/A","7590000","N/A","8100843829","N/A","37194194","318","N/A","5300000","N/A","N/A","N/A","5814123","N/A","N/A","12119164","N/A","87920","N/A","N/A","1240186","N/A","54257","N/A","N/A","1941","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"312","Burna Boy","Nigeria","African","183","312","N/A","6385998","N/A","5163855422","N/A","18868544","102836213","371","N/A","4150000","N/A","2854685838","N/A","21539167","150","N/A","4800000","N/A","N/A","N/A","14853023","N/A","N/A","7700609","N/A","8344705","N/A","N/A","815139","N/A","184796","N/A","N/A","782","N/A","N/A","N/A","15017","18","5","195","N/A","238.54939847798448"
"313","The Offspring","United States","Punk","522","313","N/A","5157453","N/A","4683835639","N/A","18554017","78531901","1133","N/A","1680000","N/A","1529274588","N/A","9601919","3354","N/A","495400","N/A","N/A","N/A","1167218","N/A","N/A","6249897","N/A","261756","N/A","N/A","1593101","N/A","182850","N/A","N/A","269","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"314","Train","United States","Rock","795","314","N/A","4343562","N/A","5229194752","N/A","18225202","167078193","1038","N/A","1620000","N/A","1794839022","N/A","9821519","11129","N/A","82300","N/A","N/A","N/A","203322","N/A","N/A","3868830","N/A","368595","N/A","N/A","991217","N/A","102182","N/A","N/A","246","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"315","Journey","United States","Rock","562","315","N/A","5151403","N/A","5259193752","N/A","18526496","127015514","553","N/A","1950000","N/A","1517568131","N/A","8577104","11055","N/A","66900","N/A","N/A","N/A","180792","N/A","N/A","5087697","N/A","272992","N/A","N/A","525191","N/A","15578","N/A","N/A","101","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"316","Benny Blanco","United States","Pop","1151","316","N/A","1063580","N/A","5065717969","N/A","15812130","79551194","1935","N/A","1810000","N/A","1796144844","N/A","21073804","3284","N/A","4800000","N/A","N/A","N/A","997520","N/A","N/A","213344","N/A","191231","N/A","N/A","194617","N/A","62995","N/A","N/A","1851","N/A","N/A","N/A","13235","N/A","N/A","N/A","N/A","N/A"
"317","Ruth B","Canada","Pop","996","317","N/A","3045240","N/A","2995339141","N/A","19939319","77071533","1381","N/A","1820000","N/A","1243082205","N/A","15400151","13646","N/A","330400","N/A","N/A","N/A","425704","N/A","N/A","240918","N/A","1354867","N/A","N/A","106902","N/A","29005","N/A","N/A","5028","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
